 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,483483,195.343,26.515,53,245,661.937,397.968,3684.224,1044.963,589.102,2.251,1221.516,27,337,163.301,731.955
2,89,238.787,5.241,226,245,379.039,59.916,45.456,11.282,10.044,142.820,13.928,373,58,158.962,12.000
3,12,244.167,0.718,243,245,857.417,93.333,12.485,4.911,3.111,99.417,5.385,856,91,111.801,3.000
4,162,238.938,5.084,225,245,12.660,102.179,52.042,16.303,12.652,161.762,19.209,5,96,141.340,14.000
5,3,244.667,0.577,244,245,849.167,97.167,5.657,2.365,1.615,45.000,2.828,848,98,45.000,2.000
6,7,244.571,0.535,244,245,843.214,111.500,8.485,3.086,2.888,90.000,3.606,842,110,123.690,3.000
7,1,245.000,0.000,245,245,952.500,137.500,2.828,1.128,1.128,0.000,1.414,952,137,135.000,1.000
8,5,245.000,0.000,245,245,767.700,141.100,7.657,3.144,2.025,18.435,3.606,766,142,33.690,2.000
9,4,244.250,0.957,243,245,548.500,149.750,7.071,2.734,1.863,0.000,3.162,547,149,161.565,2.000
10,4,244.500,0.577,244,245,497.000,153.000,5.657,2.257,2.257,0.000,2.828,496,152,135.000,2.000
11,2,245.000,0.000,245,245,709.500,155.000,4.828,2.257,1.128,90.000,2.236,709,154,116.565,1.000
12,5,244.600,0.894,243,245,462.300,157.900,7.071,3.144,2.025,18.435,3.606,461,159,33.690,2.000
13,30,234.167,9.281,215,245,709.500,170.767,20.728,7.892,4.840,2.999,8.544,706,173,20.556,5.000
14,5,244.800,0.447,244,245,644.100,178.700,7.657,3.144,2.025,71.565,3.606,643,180,56.310,2.000
15,3,245.000,0.000,245,245,1034.167,193.167,5.657,2.365,1.615,45.000,2.828,1033,194,45.000,2.000
16,4,244.500,0.577,244,245,883.000,223.000,5.657,2.257,2.257,0.000,2.828,882,222,135.000,2.000
17,4,242.000,1.155,241,243,889.000,223.000,5.657,2.257,2.257,0.000,2.828,888,222,135.000,2.000
18,1,245.000,0.000,245,245,277.500,256.500,2.828,1.128,1.128,0.000,1.414,277,256,135.000,1.000
19,1,245.000,0.000,245,245,205.500,263.500,2.828,1.128,1.128,0.000,1.414,205,263,135.000,1.000
20,4,244.500,0.577,244,245,245.500,301.750,7.071,2.734,1.863,0.000,3.162,244,301,161.565,2.000
21,8,243.875,1.126,242,245,259.875,309.250,9.899,4.044,2.519,160.670,4.472,258,308,153.435,3.000
22,4,244.500,0.577,244,245,254.000,316.000,5.657,2.257,2.257,0.000,2.828,253,315,135.000,2.000
23,207,240.459,3.958,227,245,957.877,325.292,80.912,30.016,8.781,155.242,32.696,943,316,156.571,11.569
24,25,236.360,6.563,224,245,860.580,335.420,18.142,6.883,4.624,24.264,7.616,857,337,23.199,5.000
25,2,245.000,0.000,245,245,959.000,336.500,4.243,2.257,1.128,0.000,2.236,958,336,153.435,1.000
26,3,244.667,0.577,244,245,854.167,340.833,5.657,2.365,1.615,135.000,2.828,853,340,135.000,2.000
27,1,245.000,0.000,245,245,973.500,344.500,2.828,1.128,1.128,0.000,1.414,973,344,135.000,1.000
28,17,242.765,1.821,239,245,969.029,347.912,15.314,6.669,3.246,152.935,7.211,966,346,146.310,4.000
29,32,243.125,2.366,237,245,977.219,358.469,32.042,8.010,5.087,107.405,11.180,978,353,100.305,6.822
30,131,243.756,1.307,240,245,228.279,371.309,74.912,28.752,5.801,50.997,33.422,218,384,51.072,9.143
31,12,244.250,0.866,243,245,1140.667,362.417,15.314,6.085,2.511,25.806,7.211,1138,365,33.690,3.578
32,7,244.857,0.378,244,245,238.500,364.214,9.071,3.086,2.888,0.000,3.606,237,363,123.690,3.000
33,9,244.444,0.882,243,245,247.833,367.500,10.485,4.204,2.726,35.783,5.000,246,369,36.870,3.000
34,25,240.240,3.655,233,245,839.460,372.540,19.314,7.861,4.049,60.366,8.602,837,376,54.462,4.919
35,4,244.750,0.500,244,245,830.000,374.000,5.657,2.257,2.257,0.000,2.828,829,373,135.000,2.000
36,2,244.500,0.707,244,245,994.500,377.000,4.828,2.257,1.128,90.000,2.236,994,376,116.565,1.000
37,6,244.333,0.816,243,245,239.667,385.333,8.485,3.140,2.433,45.000,3.606,238,386,33.690,2.828
38,19,244.474,0.697,243,245,211.974,387.605,15.556,5.543,4.364,144.664,6.403,210,385,128.660,4.919
39,1,245.000,0.000,245,245,211.500,392.500,2.828,1.128,1.128,0.000,1.414,211,392,135.000,1.000
40,9,242.667,1.658,240,245,1004.611,396.389,10.485,3.923,2.921,11.981,4.472,1003,395,153.435,3.000
41,1,245.000,0.000,245,245,205.500,397.500,2.828,1.128,1.128,0.000,1.414,205,397,135.000,1.000
42,1,245.000,0.000,245,245,213.500,402.500,2.828,1.128,1.128,0.000,1.414,213,402,135.000,1.000
43,10,244.000,1.155,242,245,196.000,410.500,10.485,4.444,2.865,26.565,5.000,194,412,36.870,3.000
44,1,245.000,0.000,245,245,1126.500,413.500,2.828,1.128,1.128,0.000,1.414,1126,413,135.000,1.000
45,1,245.000,0.000,245,245,288.500,418.500,2.828,1.128,1.128,0.000,1.414,288,418,135.000,1.000
46,48,242.521,2.760,236,245,189.292,425.167,31.213,8.851,6.905,54.983,10.296,185,427,29.055,8.356
47,18,244.556,0.511,244,245,198.222,426.222,16.728,6.341,3.614,38.142,7.211,195,428,33.690,4.715
48,15,244.800,0.414,244,245,193.100,434.233,14.728,5.684,3.360,38.793,6.403,191,437,38.660,4.025
49,1,245.000,0.000,245,245,795.500,437.500,2.828,1.128,1.128,0.000,1.414,795,437,135.000,1.000
50,2,244.500,0.707,244,245,198.500,456.000,4.828,2.257,1.128,90.000,2.236,198,455,116.565,1.000
51,15,242.600,2.530,237,245,409.100,514.567,14.485,6.404,2.982,12.362,6.708,406,516,26.565,3.000
52,1,245.000,0.000,245,245,1031.500,521.500,2.828,1.128,1.128,0.000,1.414,1031,521,135.000,1.000
53,2,245.000,0.000,245,245,709.500,529.000,4.828,2.257,1.128,90.000,2.236,709,528,116.565,1.000
54,16,243.312,1.662,241,245,1045.188,536.250,16.142,6.393,3.186,136.964,7.211,1043,533,123.690,4.000
55,1,245.000,0.000,245,245,928.500,546.500,2.828,1.128,1.128,0.000,1.414,928,546,135.000,1.000
56,4,245.000,0.000,245,245,1063.750,550.500,7.657,2.734,1.863,90.000,3.162,1063,549,108.435,2.000
57,15,243.267,1.438,241,245,1001.900,552.900,13.071,4.659,4.099,45.001,5.657,1000,555,45.000,4.000
58,1,245.000,0.000,245,245,192.500,563.500,2.828,1.128,1.128,0.000,1.414,192,563,135.000,1.000
59,5,244.000,0.707,243,245,1128.900,573.300,7.657,3.144,2.025,71.565,3.606,1128,575,56.310,2.000
60,30,243.367,1.426,240,245,199.267,575.733,22.385,8.960,4.263,19.458,9.487,195,578,18.435,5.060
61,3,245.000,0.000,245,245,189.833,575.833,5.657,2.365,1.615,45.000,2.828,189,577,45.000,2.000
62,4,245.000,0.000,245,245,193.000,581.000,5.657,2.257,2.257,0.000,2.828,192,580,135.000,2.000
63,91,243.923,1.147,240,245,1078.852,590.973,61.355,13.898,8.337,131.986,17.889,1069,589,153.435,12.728
64,7,244.857,0.378,244,245,1118.500,586.500,8.485,3.772,2.363,135.000,4.243,1117,585,135.000,2.828
65,53,238.981,5.440,225,245,153.708,591.538,25.556,9.303,7.254,96.865,9.849,152,587,113.962,7.000
66,7,244.143,1.069,242,245,1003.500,593.500,8.485,3.772,2.363,45.000,4.243,1002,595,45.000,2.828
67,7,244.286,0.488,244,245,160.786,597.357,9.071,3.507,2.542,120.473,4.243,159,596,135.000,3.000
68,9,244.778,0.441,244,245,1090.056,599.278,11.657,5.229,2.191,94.731,5.385,1089,597,111.801,2.000
69,5,244.000,1.414,242,245,1000.300,608.500,8.485,3.086,2.063,34.099,3.606,999,610,33.690,2.683
70,5,245.000,0.000,245,245,1075.100,608.700,7.657,3.144,2.025,71.565,3.606,1074,610,56.310,2.000
71,31,229.710,12.977,202,245,219.726,611.823,20.142,7.150,5.521,58.963,8.062,217,615,60.255,6.000
72,8,244.750,0.463,244,245,1079.500,610.750,10.485,3.978,2.560,65.593,4.472,1079,613,63.435,3.000
73,4,245.000,0.000,245,245,1118.000,611.000,5.657,2.257,2.257,0.000,2.828,1117,610,135.000,2.000
74,4,245.000,0.000,245,245,172.500,613.750,7.071,2.734,1.863,0.000,3.162,171,613,161.565,2.000
75,40,240.225,3.806,233,245,1032.300,620.100,29.213,12.588,4.046,54.976,13.601,1028,625,53.973,4.950
76,13,243.462,0.877,242,245,1102.500,615.346,12.485,5.181,3.195,0.000,5.385,1100,614,158.199,3.000
77,9,245.000,0.000,245,245,1055.167,620.056,11.314,5.150,2.225,130.269,5.657,1053,618,135.000,2.828
78,102,243.422,1.323,240,245,255.157,626.333,45.113,15.404,8.431,138.411,17.205,249,622,144.462,10.800
79,44,242.682,1.877,239,245,1105.773,622.886,26.142,9.609,5.830,66.137,10.817,1103,628,56.310,6.871
80,1,245.000,0.000,245,245,1016.500,622.500,2.828,1.128,1.128,0.000,1.414,1016,622,135.000,1.000
81,9,242.778,1.641,240,245,1023.500,630.500,9.657,3.385,3.385,0.000,4.243,1022,629,135.000,3.000
82,7,244.857,0.378,244,245,1048.500,631.786,10.485,4.566,1.952,123.401,5.000,1047,630,126.870,2.683
83,65,242.462,2.122,238,245,1070.577,634.469,33.213,12.689,6.522,32.477,13.892,1064,638,30.256,8.200
84,22,241.273,3.239,235,245,934.091,634.727,17.314,6.735,4.159,82.791,7.280,933,638,74.055,4.000
85,1,245.000,0.000,245,245,1016.500,633.500,2.828,1.128,1.128,0.000,1.414,1016,633,135.000,1.000
86,9,244.778,0.441,244,245,997.167,635.611,10.485,3.919,2.924,159.699,4.472,995,635,153.435,3.000
87,42,239.524,4.511,229,245,1082.881,637.024,27.556,11.831,4.520,179.717,12.166,1077,636,170.538,5.000
88,223,229.794,18.990,168,245,1016.155,646.469,100.912,31.261,9.083,174.593,36.346,1001,641,172.093,14.000
89,7,243.714,1.113,242,245,1052.786,637.929,9.071,4.154,2.146,8.350,4.472,1051,639,26.565,2.000
90,19,244.368,0.684,243,245,1045.447,640.711,20.971,8.248,2.933,32.014,9.434,1041,644,32.005,4.025
91,1,245.000,0.000,245,245,981.500,640.500,2.828,1.128,1.128,0.000,1.414,981,640,135.000,1.000
92,13,243.769,1.301,241,245,995.192,643.423,13.314,4.734,3.496,75.244,5.385,994,646,68.199,4.000
93,25,236.200,8.201,218,245,923.060,647.700,17.314,6.464,4.925,24.972,7.211,920,650,33.690,5.000
94,11,244.909,0.302,244,245,998.773,648.409,13.314,5.499,2.547,55.539,6.403,997,651,51.340,3.479
95,4,245.000,0.000,245,245,981.000,648.000,5.657,2.257,2.257,0.000,2.828,980,647,135.000,2.000
96,13,244.538,0.519,244,245,893.269,649.885,12.485,4.253,3.892,149.036,5.000,892,648,126.870,4.000
97,153,244.105,0.882,242,245,973.356,659.905,64.184,17.562,11.093,71.683,20.616,966,667,67.166,13.205
98,22,243.364,1.399,241,245,812.182,654.000,18.971,8.286,3.381,36.985,8.602,809,657,35.538,4.160
99,62,240.790,4.610,228,245,835.710,656.435,29.213,9.961,7.925,117.878,10.817,833,652,123.690,8.854
100,11,244.273,0.905,243,245,875.864,652.591,11.071,4.384,3.195,164.929,5.000,874,651,143.130,3.000
101,2,245.000,0.000,245,245,984.500,652.000,4.828,2.257,1.128,90.000,2.236,984,651,116.565,1.000
102,12,244.083,0.669,243,245,886.833,654.417,12.485,4.314,3.542,145.278,5.000,886,652,126.870,4.000
103,3,245.000,0.000,245,245,988.167,652.833,5.657,2.365,1.615,135.000,2.828,987,652,135.000,2.000
104,36,240.583,2.781,236,245,576.556,658.778,28.627,12.115,3.783,47.091,13.454,572,664,48.013,4.841
105,3,245.000,0.000,245,245,855.167,654.833,5.657,2.365,1.615,135.000,2.828,854,654,135.000,2.000
106,50,244.120,0.961,242,245,865.320,658.700,40.870,11.940,5.332,40.414,14.422,860,663,33.690,7.603
107,2,245.000,0.000,245,245,969.000,654.500,4.243,2.257,1.128,0.000,2.236,968,654,153.435,1.000
108,6,245.000,0.000,245,245,965.000,656.000,9.071,3.988,1.916,18.435,4.472,963,657,26.565,2.000
