 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,116,243.414,1.258,241,245,4757.733,4.336,42.042,15.440,9.566,163.421,16.492,4749,2,165.964,10.000
2,12718,196.556,28.654,124,245,2412.189,483.094,489.387,180.654,89.636,18.073,192.333,2321,507,16.928,95.545
3,392,220.370,19.213,184,245,1865.293,682.857,72.426,24.060,20.745,110.132,25.060,1859,672,118.610,21.000
4,48,243.333,1.209,241,245,66.500,720.688,24.971,9.891,6.179,121.392,10.817,64,716,123.690,7.000
5,450,217.973,21.599,175,245,1310.096,773.164,78.669,27.064,21.170,140.127,28.018,1298,766,145.176,21.911
6,171,236.871,6.527,223,245,590.067,778.284,46.870,16.289,13.366,125.441,17.493,585,771,120.964,14.000
7,226,232.668,9.731,212,245,672.659,782.420,56.770,18.888,15.235,117.011,19.849,666,775,130.914,16.086
8,34,243.235,1.394,241,245,1216.000,777.500,20.142,7.429,5.827,118.068,8.062,1214,774,119.745,6.000
9,3,245.000,0.000,245,245,1515.833,795.833,5.657,2.365,1.615,45.000,2.828,1515,797,45.000,2.000
10,138,235.435,7.603,219,245,1032.036,1005.877,42.284,14.640,12.002,120.838,15.652,1028,999,116.565,12.728
11,203,237.882,5.174,228,245,1333.594,1308.988,58.184,23.431,11.031,117.902,23.707,1328,1298,117.646,11.628
12,811,234.404,7.282,217,245,3546.195,1344.906,115.054,45.011,22.941,114.233,45.188,3536,1324,114.864,24.010
13,15,244.733,0.458,244,245,5343.300,1330.367,13.899,5.243,3.643,80.101,5.831,5342,1333,59.036,4.000
14,370,225.946,14.145,199,245,1985.789,1713.289,74.527,28.726,16.400,175.881,28.636,1972,1708,167.905,16.000
15,78,240.564,3.511,234,245,2274.782,1771.295,32.385,11.543,8.603,70.683,12.530,2272,1777,61.390,9.000
16,8,244.875,0.354,244,245,4014.375,1838.375,9.071,3.538,2.879,45.000,4.243,4013,1840,45.000,3.000
17,78,240.397,3.683,233,245,4051.615,1893.474,31.799,11.417,8.699,68.284,12.207,4049,1899,55.008,9.000
18,20,244.000,0.918,242,245,3962.800,1896.400,15.899,5.446,4.675,69.090,6.403,3961,1899,51.340,5.000
19,308,237.117,5.108,229,245,114.994,1909.838,65.841,24.398,16.073,120.383,25.080,111,1898,113.499,16.971
20,169,238.598,4.696,229,245,2287.873,1906.228,47.698,16.723,12.867,108.196,17.464,2286,1898,103.241,13.000
21,5,245.000,0.000,245,245,3974.100,1903.700,7.657,3.144,2.025,71.565,3.606,3973,1905,56.310,2.000
22,17,244.765,0.437,244,245,3984.029,1907.676,15.314,5.491,3.942,94.933,6.325,3983,1905,108.435,4.000
23,10,245.000,0.000,245,245,512.200,1941.800,11.314,3.975,3.203,135.000,4.472,511,1940,116.565,3.536
24,40,244.000,0.816,243,245,177.500,2004.625,23.799,10.088,5.048,143.241,10.817,173,2002,146.310,5.657
25,77,239.416,4.598,230,245,1783.929,2007.851,31.799,10.619,9.232,131.423,11.402,1781,2003,127.875,9.839
26,80,241.600,2.698,236,245,2680.200,2030.312,32.385,11.332,8.989,170.768,12.083,2675,2027,155.556,9.000
27,159,233.497,8.794,216,245,1588.223,2140.921,44.870,14.288,14.169,156.296,15.264,1585,2134,121.608,14.000
28,1271,192.154,35.488,135,245,2287.665,2295.509,132.811,44.854,36.079,82.814,46.615,2279,2318,67.286,35.000
29,48,241.375,2.718,236,245,2460.250,2322.917,24.971,8.131,7.516,106.485,8.944,2458,2319,116.565,8.000
30,214,231.435,10.679,210,245,1836.808,2361.336,53.941,18.692,14.577,127.044,19.416,1832,2353,124.509,15.205
31,7,244.857,0.378,244,245,2573.500,2401.214,9.071,3.086,2.888,0.000,3.606,2572,2400,123.690,3.000
32,4795,176.473,38.159,120,245,1121.378,2535.762,315.765,130.364,46.832,165.043,130.250,1058,2521,165.324,48.489
33,93,236.796,6.341,224,245,2540.715,2524.242,35.213,11.339,10.443,38.473,12.207,2536,2528,34.992,11.000
34,53,242.396,2.032,239,245,2538.236,2594.783,26.385,8.576,7.869,30.080,9.434,2536,2599,57.995,8.000
35,82,239.232,4.304,230,245,1327.598,2600.232,32.385,11.053,9.446,100.705,11.705,1325,2595,109.983,9.000
36,61,242.426,1.970,239,245,4770.992,2766.910,28.385,10.441,7.439,64.484,11.180,4769,2772,63.435,8.000
37,43,242.977,1.752,239,245,4100.384,2798.384,22.728,7.717,7.095,45.002,8.602,4097,2801,35.538,7.000
