 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,152,242.691,1.780,239,245,4757.789,4.684,51.698,18.105,10.689,163.002,20.125,4747,0,153.435,12.000
2,3,245.000,0.000,245,245,530.833,279.167,5.657,2.365,1.615,135.000,2.828,530,278,135.000,2.000
3,12955,192.678,30.277,118,245,2411.978,483.263,490.215,181.803,90.729,18.160,192.627,2321,508,17.212,96.394
4,394,219.241,20.275,180,245,1865.277,682.964,73.012,24.387,20.571,109.406,25.239,1859,672,123.690,21.000
5,53,242.604,1.915,239,245,66.349,720.858,26.971,10.269,6.572,116.772,11.402,63,716,127.875,7.000
6,458,217.162,22.645,172,245,1310.079,773.212,79.497,27.431,21.258,141.944,28.302,1298,766,147.995,21.920
7,167,235.874,7.218,220,245,590.087,778.344,46.870,16.308,13.038,124.921,17.493,585,771,120.964,13.868
8,229,231.694,10.602,209,245,672.950,782.631,55.355,19.210,15.178,115.794,19.925,670,773,107.526,15.652
9,36,242.639,1.710,240,245,1216.000,777.500,21.314,8.059,5.687,122.746,9.220,1213,774,130.601,6.000
10,9,244.667,0.500,244,245,1515.611,795.833,10.485,3.919,2.924,69.699,4.472,1515,798,63.435,3.000
11,1,245.000,0.000,245,245,1733.500,794.500,2.828,1.128,1.128,0.000,1.414,1733,794,135.000,1.000
12,143,234.455,8.673,215,245,1031.983,1006.003,43.698,15.151,12.017,122.426,16.125,1028,999,119.745,12.728
13,215,237.009,5.894,226,245,1333.500,1308.849,59.355,23.646,11.577,118.061,24.187,1327,1298,119.745,12.522
14,4,245.000,0.000,245,245,1675.000,1306.000,5.657,2.257,2.257,0.000,2.828,1674,1305,135.000,2.000
15,829,233.497,7.918,214,245,3546.383,1345.145,117.054,45.417,23.241,114.712,45.651,3536,1324,118.811,24.150
16,25,244.480,0.586,243,245,5343.620,1330.700,18.142,6.466,4.923,103.391,7.280,5343,1327,105.945,5.000
17,1,245.000,0.000,245,245,5419.500,1456.500,2.828,1.128,1.128,0.000,1.414,5419,1456,135.000,1.000
18,3,245.000,0.000,245,245,5422.167,1459.833,5.657,2.365,1.615,135.000,2.828,5421,1459,135.000,2.000
19,366,224.505,15.164,196,245,1985.831,1713.336,73.113,28.283,16.477,175.834,28.160,1972,1709,163.496,16.000
20,81,239.938,4.014,232,245,2274.809,1771.080,33.213,12.123,8.507,73.650,13.000,2272,1777,67.380,9.000
21,1,245.000,0.000,245,245,1431.500,1801.500,2.828,1.128,1.128,0.000,1.414,1431,1801,135.000,1.000
22,14,244.429,0.646,243,245,4014.143,1838.714,13.314,4.746,3.756,65.642,5.385,4013,1841,68.199,4.000
23,78,239.436,4.577,230,245,4051.615,1893.474,31.799,11.417,8.699,68.284,12.207,4049,1899,55.008,9.000
24,22,243.273,1.453,241,245,3962.591,1896.409,15.899,5.554,5.043,45.000,6.403,3960,1898,38.660,5.000
25,312,236.077,5.572,227,245,114.907,1909.718,66.426,24.441,16.254,120.518,25.080,111,1898,113.499,16.994
26,170,238.041,5.157,228,245,2287.900,1906.359,48.284,16.839,12.854,109.333,17.692,2282,1900,132.709,13.000
27,11,244.727,0.467,244,245,3974.318,1903.682,11.899,3.807,3.678,135.000,4.472,3973,1902,116.565,4.000
28,22,244.364,0.790,243,245,3984.000,1908.000,16.485,6.572,4.262,102.557,7.211,3982,1905,123.690,4.000
29,26,244.231,0.765,243,245,512.000,1941.731,18.142,6.091,5.435,115.470,6.708,510,1939,116.565,5.814
30,47,243.681,1.125,242,245,177.649,2004.798,26.971,11.109,5.387,140.276,12.042,173,2001,138.366,6.364
31,75,238.493,5.366,227,245,1783.953,2007.873,31.213,10.695,8.929,134.137,11.402,1781,2003,127.875,9.707
32,84,240.560,3.402,234,245,2680.202,2030.012,33.213,11.325,9.444,169.737,12.083,2675,2027,155.556,10.000
