 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,81,244.160,0.766,243,245,4757.784,3.907,34.627,12.988,7.941,160.422,13.601,4751,2,162.897,9.000
2,12581,199.059,27.614,128,245,2412.131,483.140,487.730,179.566,89.208,18.029,192.044,2321,506,16.642,95.317
3,396,221.551,18.209,187,245,1865.306,682.780,73.598,23.989,21.018,111.238,25.000,1859,672,126.870,21.000
4,41,244.024,0.790,243,245,66.646,720.573,23.556,9.186,5.683,127.502,10.000,63,717,126.870,6.364
5,439,218.638,20.580,177,245,1310.026,773.072,77.841,26.691,20.942,141.937,27.803,1299,765,142.306,21.466
6,169,237.521,5.844,225,245,590.145,778.287,47.698,16.270,13.225,122.912,17.493,585,771,120.964,14.000
7,221,233.507,8.883,214,245,672.477,782.206,54.527,18.556,15.165,116.130,19.416,666,775,124.509,16.000
8,33,243.879,1.166,242,245,1216.076,777.470,20.142,7.516,5.590,117.193,8.062,1214,774,119.745,6.000
9,138,235.971,6.943,221,245,1032.036,1005.877,42.284,14.640,12.002,120.838,15.652,1028,999,116.565,12.728
10,192,238.755,4.509,230,245,1333.745,1309.214,55.113,22.421,10.903,116.328,22.825,1328,1299,118.811,11.628
11,786,235.294,6.754,220,245,3546.156,1344.805,113.640,44.202,22.641,114.142,44.294,3535,1325,118.301,23.702
12,370,227.176,13.184,202,245,1985.792,1713.086,75.355,28.994,16.248,176.074,28.862,1972,1708,165.964,16.530
13,77,241.078,3.098,235,245,2274.812,1771.227,32.385,11.327,8.655,71.227,12.207,2271,1776,55.008,9.000
14,3,245.000,0.000,245,245,4014.167,1838.167,5.657,2.365,1.615,45.000,2.828,4013,1839,45.000,2.000
15,73,241.000,2.944,235,245,4051.856,1893.390,31.213,10.916,8.515,81.347,11.705,4050,1899,70.017,9.000
16,14,244.429,0.646,243,245,3962.857,1896.286,13.314,4.746,3.756,65.642,5.385,3962,1899,68.199,4.000
17,299,238.007,4.632,231,245,115.192,1909.962,65.012,24.098,15.798,119.285,25.060,109,1899,118.610,16.918
18,169,239.160,4.293,230,245,2287.873,1906.228,47.698,16.723,12.867,108.196,17.464,2286,1898,103.241,13.000
19,9,245.000,0.000,245,245,3984.167,1907.944,10.485,4.196,2.731,83.953,4.472,3983,1906,116.565,3.000
20,3,245.000,0.000,245,245,512.167,1941.833,5.657,2.365,1.615,135.000,2.828,511,1941,135.000,2.000
21,34,244.353,0.691,243,245,177.382,2004.647,21.556,9.049,4.784,135.724,9.899,174,2001,135.000,5.657
22,74,239.946,3.937,232,245,1784.108,2007.892,31.799,10.420,9.042,118.121,11.402,1781,2003,127.875,9.803
23,74,242.446,2.095,238,245,2680.284,2030.216,32.042,10.938,8.614,168.715,11.705,2675,2028,160.017,9.000
24,160,234.244,8.146,217,245,1588.138,2140.744,46.042,14.366,14.180,178.782,15.620,1582,2136,140.194,14.000
25,1270,193.366,34.713,137,245,2287.689,2295.428,132.811,44.933,35.987,81.872,46.615,2279,2318,67.286,35.000
26,46,241.978,2.266,238,245,2460.391,2322.870,23.556,8.219,7.126,107.262,8.944,2458,2319,116.565,7.000
27,218,232.413,9.723,213,245,1836.743,2361.312,54.527,18.820,14.749,129.819,19.849,1830,2354,130.914,15.556
28,1,245.000,0.000,245,245,2573.500,2401.500,2.828,1.128,1.128,0.000,1.414,2573,2401,135.000,1.000
29,4775,177.943,37.058,122,245,1121.437,2535.755,314.350,130.042,46.752,165.012,130.000,1058,2522,165.750,48.214
30,91,237.549,5.626,226,245,2540.709,2524.126,34.385,11.358,10.201,27.623,12.207,2536,2528,34.992,10.000
31,51,242.843,1.690,240,245,2538.186,2594.716,25.556,8.279,7.844,28.552,9.220,2535,2598,40.601,8.000
32,82,239.817,3.794,232,245,1327.598,2600.232,32.385,11.053,9.446,100.705,11.705,1325,2595,109.983,9.000
